?        [show]  ヘルプを表示します
h        [move]  前のパネルへ移動します
l        [move]  次のパネルへ移動します
j        [move]  カーソルを下へ移動します
k        [move]  カーソルを上へ移動します
p        [edit]  pullします
P        [edit]  pushします
H        [edit]  カレントパネルを左スクロールします
L        [edit]  カレントパネルを右スクロールします
.        [edit]  カレントパネルを次のページへ
,        [edit]  カレントパネルを前のページへ
[        [edit]  カレントパネルを前のタブへ
]        [edit]  カレントパネルを次のタブへ
J        [edit]  プレビューパネルを下へスクロールします
K        [edit]  プレビューパネルを上へスクロールします
<Esc>    [move]  戻る
e        [move]  ファイルをエディタで開きます
_        [mark]  ファイルをステージ・アンステージします
a        [mark]  すべてのファイルを変更ステージ・アンステージします
c        [edit]  コミットします
C        [edit]  gitの画面でコミットします
f        [edit]  フェッチします
r        [edit]  ファイルをリフレッシュします
i        [edit]  ファイルをignoreします
<Enter>  [move]  プレビューパネルに移動します
n        [edit]  新しいブランチを作成します
d        [edit]  ブランチを削除します
R        [edit]  ブランチ名を変更します
